pathway	size	pval	padj	NES
BETA3 INTEGRIN CELL SURFACE INTERACTIONS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BETA3 INTEGRIN CELL SURFACE INTERACTIONS	43	0.0001	0.0008	2.0759
CHOLESTEROL BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 81%191273	26	0.0011	0.0065	-1.8297
REGULATION OF OSTEOCLAST DIFFERENTIATION%GOBP%GO:0045670	49	0.0004	0.003	1.8939
CHROMOSOME LOCALIZATION%GOBP%GO:0050000	91	0.0075	0.0283	-1.4882
4-HYDROXYBUTYRIC ACIDURIA SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000243	22	0.011	0.0376	-1.715
ALENDRONATE ACTION PATHWAY%PATHWHIZ%PW000137	21	0.0026	0.0124	-1.8161
EMBRYONIC MORPHOGENESIS%GOBP%GO:0048598	284	0.0062	0.0243	1.4421
REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:0090049	33	0.0076	0.0286	1.7375
MRNA SPLICING%REACTOME DATABASE ID RELEASE 81%72172	211	0.0001	0.0006	1.6826
REGULATION OF CELLULAR CATABOLIC PROCESS%GOBP%GO:0031329	410	0.0002	0.0014	1.5248
CELLULAR RESPONSE TO STARVATION%REACTOME%R-HSA-9711097.4	157	0	0.0002	-1.7866
COPI-MEDIATED ANTEROGRADE TRANSPORT%REACTOME DATABASE ID RELEASE 81%6807878	82	0.0051	0.0209	1.6027
POSITIVE REGULATION OF P38MAPK CASCADE%GOBP%GO:1900745	25	0.0015	0.0081	1.8617
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	80	4.0538e-12	4.5883e-10	-2.6559
CELLULAR RESPONSE TO NITROGEN COMPOUND%GOBP%GO:1901699	406	0.0001	0.0011	1.5681
REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051052	457	0.0017	0.009	-1.3168
CELLULAR RESPONSE TO CHEMOKINE%GOBP%GO:1990869	68	0.0000012903	0	2.2278
REGULATION OF CALCIUM ION IMPORT%GOBP%GO:0090279	30	0.0015	0.008	1.8623
HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION%GOBP%GO:0002244	32	0.0071	0.0272	1.7351
POSITIVE REGULATION OF CALCIUM ION TRANSPORT%GOBP%GO:0051928	89	0.0094	0.0336	1.5605
SMALL CELL LUNG CANCER%WIKIPATHWAYS_20240410%WP4658%HOMO SAPIENS	83	0	0.0002	2.0074
EARLY ENDOSOME TO GOLGI TRANSPORT%GOBP%GO:0034498	17	0.0128	0.0423	1.6944
NEGATIVE REGULATION OF PEPTIDASE ACTIVITY%GOBP%GO:0010466	84	0	0.0002	1.9922
REGULATION OF HOMOTYPIC CELL-CELL ADHESION%REACTOME DATABASE ID RELEASE 81%9759476	30	0.0025	0.0122	1.8219
INFLAMMATION MEDIATED BY CHEMOKINE AND CYTOKINE SIGNALING PATHWAY%PANTHER PATHWAY%P00031	182	0.002	0.0101	1.5346
ENTRAINMENT OF CIRCADIAN CLOCK BY PHOTOPERIOD%GOBP%GO:0043153	24	0.0117	0.0394	1.6847
RESPONSE TO INORGANIC SUBSTANCE%GOBP%GO:0010035	278	0.0005	0.0033	1.5519
POSITIVE REGULATION OF TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION%GOBP%GO:1903557	88	0.0001	0.0008	1.9217
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.5	120	5.9782e-10	3.3217e-8	-2.3218
GLUCONEOGENESIS%PATHWHIZ%PW088242	20	0.0137	0.0447	-1.6741
POSITIVE REGULATION OF JNK CASCADE%GOBP%GO:0046330	80	0.0158	0.0498	1.5159
REGULATION OF SECRETION BY CELL%GOBP%GO:1903530	383	0.0003	0.0023	1.5318
PID_IL1_PATHWAY%MSIGDB_C2%PID_IL1_PATHWAY	28	0	0.0003	2.1518
PID_NFKAPPAB_CANONICAL_PATHWAY%MSIGDB_C2%PID_NFKAPPAB_CANONICAL_PATHWAY	20	0.0002	0.0014	2.0591
POSITIVE REGULATION OF DNA-TEMPLATED TRANSCRIPTION INITIATION%GOBP%GO:2000144	62	0.0013	0.0075	1.792
HDAC6 INTERACTIONS IN THE CENTRAL NERVOUS SYSTEM%WIKIPATHWAYS_20240410%WP5426%HOMO SAPIENS	91	0.0099	0.0352	1.526
TRANSLATION%REACTOME%R-HSA-72766.6	294	3.609e-18	2.2058e-15	-2.4234
CHROMOSOME SEGREGATION%GOBP%GO:0007059	269	1.3362e-8	5.0727e-7	-1.918
NEGATIVE REGULATION OF COAGULATION%GOBP%GO:0050819	41	0.004	0.0173	1.7698
IL 4 SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP395%HOMO SAPIENS	41	0.0092	0.0332	1.697
REGULATION OF BLOOD COAGULATION%GOBP%GO:0030193	56	0.0012	0.0068	1.8122
CARDIAC MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048738	123	0.0004	0.0025	1.7582
NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEPARATION%GOBP%GO:2000816	29	0.000002557	0	-2.2365
RESPONSE TO TUMOR NECROSIS FACTOR%GOBP%GO:0034612	109	1.1437e-8	4.3965e-7	2.2136
COSTIMULATION BY THE CD28 FAMILY%REACTOME DATABASE ID RELEASE 81%388841	72	0.0133	0.0437	1.513
CARDIAC SEPTUM MORPHOGENESIS%GOBP%GO:0060411	49	0.0153	0.0486	1.6127
INTERLEUKIN-10 SIGNALING%REACTOME DATABASE ID RELEASE 81%6783783	45	1.0668e-10	7.4947e-9	2.6067
RESOLUTION OF SISTER CHROMATID COHESION%REACTOME%R-HSA-2500257.5	104	0	0.0002	-1.8845
VENTRICULAR SEPTUM MORPHOGENESIS%GOBP%GO:0060412	30	0.0153	0.0487	1.6342
RESPONSE TO NERVE GROWTH FACTOR%GOBP%GO:1990089	22	0.0083	0.0306	1.7476
POSITIVE REGULATION OF LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002708	96	0.0000013475	0	2.0773
ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR (ANDROGEN RECEPTOR) REGULATED GENES KLK2 AND KLK3%REACTOME DATABASE ID RELEASE 81%5625886	34	0.0115	0.0391	1.6886
ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ANGIOPOIETIN RECEPTOR TIE2-MEDIATED SIGNALING	50	0.0008	0.005	1.8649
RESPONSE TO FIBROBLAST GROWTH FACTOR%GOBP%GO:0071774	59	0.0078	0.029	1.6717
POST-TRANSCRIPTIONAL REGULATION OF GENE EXPRESSION%GOBP%GO:0010608	415	0.0008	0.0049	1.4651
REGULATION OF CELL DEVELOPMENT%GOBP%GO:0060284	547	3.5674e-9	1.6394e-7	1.8002
FATTY ACID METABOLISM%REACTOME DATABASE ID RELEASE 81%8978868	172	0.0001	0.0011	-1.7078
POSITIVE REGULATION OF INTERFERON-BETA PRODUCTION%GOBP%GO:0032728	37	0.001	0.0059	1.8603
CHROMOSOME MAINTENANCE%REACTOME%R-HSA-73886.4	118	0.0000047068	0.0001	-1.8873
REGULATION OF WNT SIGNALING PATHWAY%GOBP%GO:0030111	278	0.0035	0.0154	1.4683
TNFR1-INDUCED PROAPOPTOTIC SIGNALING%REACTOME%R-HSA-5357786.6	24	0.0022	0.0111	1.8224
EXTRACELLULAR MATRIX ORGANIZATION%REACTOME%R-HSA-1474244.4	293	0.005	0.0207	1.4604
POSITIVE REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043536	51	0.0005	0.0032	1.9106
C-TYPE LECTIN RECEPTORS (CLRS)%REACTOME DATABASE ID RELEASE 81%5621481	139	0.0004	0.0029	1.6802
MAPK TARGETS  NUCLEAR EVENTS MEDIATED BY MAP KINASES%REACTOME DATABASE ID RELEASE 81%450282	30	0.012	0.0405	1.5885
REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY%GOBP%GO:0042269	40	0.004	0.0173	1.7822
POSITIVE REGULATION OF ACUTE INFLAMMATORY RESPONSE%GOBP%GO:0002675	20	0.002	0.0103	1.8758
LUNG PATHOLOGY OF COVID 19%WIKIPATHWAYS_20240410%WP5146%HOMO SAPIENS	19	0.0001	0.0009	2.0971
POSITIVE REGULATION OF SIGNALING RECEPTOR ACTIVITY%GOBP%GO:2000273	24	0.0134	0.044	1.7243
PYROPTOSIS%REACTOME DATABASE ID RELEASE 81%5620971	27	0.0104	0.0364	1.6399
TOLL-LIKE RECEPTOR CASCADES%REACTOME%R-HSA-168898.9	161	6.6231e-8	0.0000021126	2.0452
NUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009166	90	0.0001	0.0006	-1.9004
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.4	94	1.6042e-11	1.4007e-9	-2.5015
REGULATION OF ACTIN FILAMENT-BASED PROCESS%GOBP%GO:0032970	318	0.006	0.0237	1.4134
CENTROMERE COMPLEX ASSEMBLY%GOBP%GO:0034508	17	0.0099	0.0351	-1.7319
POSITIVE REGULATION OF MYELOID CELL DIFFERENTIATION%GOBP%GO:0045639	79	0.0134	0.044	1.5432
CELLULAR RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0071222	126	9.3889e-11	6.6726e-9	2.3547
POSITIVE REGULATION OF HEMOPOIESIS%GOBP%GO:1903708	144	0.0067	0.0258	1.4599
NEGATIVE REGULATION OF PHOSPHATASE ACTIVITY%GOBP%GO:0010923	21	0.0095	0.034	1.7198
TETRAPYRROLE METABOLIC PROCESS%GOBP%GO:0033013	45	0.0037	0.0162	-1.7462
BLOOD VESSEL MORPHOGENESIS%GOBP%GO:0048514	222	0.0011	0.0065	1.5535
SIGNALING EVENTS MEDIATED BY HDAC CLASS I%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%SIGNALING EVENTS MEDIATED BY HDAC CLASS I	66	0.0139	0.0451	1.5762
ORGANELLE FUSION%GOBP%GO:0048284	123	0.0041	0.0177	1.5939
CELLULAR RESPONSE TO HORMONE STIMULUS%GOBP%GO:0032870	333	1.6095e-8	5.9982e-7	1.9508
PID_AMB2_NEUTROPHILS_PATHWAY%MSIGDB_C2%PID_AMB2_NEUTROPHILS_PATHWAY	31	0.0132	0.0436	1.6664
TOLL LIKE RECEPTOR 5 (TLR5) CASCADE%REACTOME%R-HSA-168176.3	94	0.0000056237	0.0001	1.9982
DYRK1A INVOLVEMENT REGARDING CELL PROLIFERATION IN BRAIN DEVELOPMENT%WIKIPATHWAYS_20240410%WP5180%HOMO SAPIENS	52	0.0122	0.0409	1.6269
CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0019221	310	3.6456e-19	3.1831e-16	2.4471
SIGNALING BY INTERLEUKINS%REACTOME%R-HSA-449147.13	458	9.9231e-20	1.0108e-16	2.2755
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS%GOBP%GO:0000956	95	0.0001	0.0006	1.857
DEFENSE RESPONSE TO VIRUS%GOBP%GO:0051607	193	6.6452e-7	0	1.9107
REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035304	66	0.0003	0.002	1.9039
MEIOTIC NUCLEAR DIVISION%GOBP%GO:0140013	129	0	0.0003	-1.8596
POSITIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0045621	103	0.0063	0.0245	1.5222
REGULATION OF T CELL MEDIATED IMMUNITY%GOBP%GO:0002709	88	6.6797e-7	0	2.1542
DEOXYRIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009264	20	0.0003	0.0021	-2.0161
GROWTH%GOBP%GO:0040007	133	0.0128	0.0423	1.4955
IMMUNE RESPONSE-REGULATING SIGNALING PATHWAY%GOBP%GO:0002764	345	4.2347e-7	0	1.8458
MEMBRANE ASSEMBLY%GOBP%GO:0071709	54	0.0022	0.011	1.7662
POSITIVE REGULATION OF T-HELPER 17 TYPE IMMUNE RESPONSE%GOBP%GO:2000318	18	0.0016	0.0087	1.9062
PI3K AKT SIGNALING%REACTOME DATABASE ID RELEASE 81%1257604	251	0.0000065652	0.0001	1.7575
NEGATIVE REGULATION OF ERK1 AND ERK2 CASCADE%GOBP%GO:0070373	47	0.001	0.0061	1.8265
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	80	3.6505e-12	4.4623e-10	-2.6603
NEGATIVE REGULATION OF EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0030857	26	0.0042	0.018	1.7984
REGULATION OF LEUKOCYTE MIGRATION%GOBP%GO:0002685	170	0.0001	0.0012	1.7376
FANCONI ANEMIA PATHWAY%REACTOME DATABASE ID RELEASE 81%6783310	38	0.0003	0.0022	-1.9721
PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002221	110	5.9877e-7	0	2.056
AUTOPHAGY%REACTOME%R-HSA-9612973.4	130	0.0005	0.0034	1.6669
AURORA B SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AURORA B SIGNALING	40	0	0.0003	-2.0958
ATTACHMENT OF SPINDLE MICROTUBULES TO KINETOCHORE%GOBP%GO:0008608	32	0.0041	0.0177	-1.7296
NEGATIVE REGULATION OF CYTOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0001960	66	0.0114	0.0389	1.6146
POSITIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS%GOBP%GO:0010562	572	2.8906e-15	1.1042e-12	2.0342
CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002753	60	0.0001	0.0007	1.99
INTRACELLULAR PROTEIN TRANSPORT%GOBP%GO:0006886	421	0	0.0003	1.5877
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ORGANELLE%GOBP%GO:0072594	289	0.0026	0.0124	1.4432
NEGATIVE REGULATION OF CELL ADHESION%GOBP%GO:0007162	235	0.0001	0.0008	1.6719
POSITIVE REGULATION OF NON-CANONICAL NF-KAPPAB SIGNAL TRANSDUCTION%GOBP%GO:1901224	51	0.0084	0.031	1.6338
NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:1901293	220	0.0000013614	0	-1.8226
EXTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0097191	71	0	0.0002	2.0487
PI3K AKT SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP4172%HOMO SAPIENS	298	0	0.0004	1.7125
RRNA PROCESSING IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 81%8868773	193	1.9321e-8	7.0711e-7	-1.9567
POSITIVE REGULATION OF MRNA CATABOLIC PROCESS%GOBP%GO:0061014	90	0.0000049146	0.0001	2.0134
REGULATION OF CANONICAL WNT SIGNALING PATHWAY%GOBP%GO:0060828	214	0.0073	0.0278	1.4329
PRE-NOTCH EXPRESSION AND PROCESSING%REACTOME%R-HSA-1912422.3	76	0	0.0002	2.0375
MYD88:MAL(TIRAP) CASCADE INITIATED ON PLASMA MEMBRANE%REACTOME%R-HSA-166058.5	110	0.0000027512	0	1.991
RESPONSE TO OSMOTIC STRESS%GOBP%GO:0006970	48	0.015	0.0479	1.5596
DOUBLE-STRAND BREAK REPAIR VIA HOMOLOGOUS RECOMBINATION%GOBP%GO:0000724	117	0.0001	0.0012	-1.711
MMR%REACTOME%R-HSA-5358508.3	15	0.003	0.014	-1.8545
INTERLEUKIN SIGNALING PATHWAY%PANTHER PATHWAY%P00036	85	2.1791e-8	7.8344e-7	2.2827
CELL-CELL SIGNALING%GOBP%GO:0007267	641	0	0.0002	1.602
POSITIVE REGULATION OF CELL CYCLE CHECKPOINT%GOBP%GO:1901978	18	0	0.0004	-2.1239
POSITIVE REGULATION OF FILOPODIUM ASSEMBLY%GOBP%GO:0051491	27	0.0107	0.0371	1.6457
RESPONSE TO INTERLEUKIN-1%GOBP%GO:0070555	73	1.8396e-8	6.8143e-7	2.3093
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME DATABASE ID RELEASE 81%156827	112	1.4051e-10	9.4372e-9	-2.3819
IL23-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL23-MEDIATED SIGNALING EVENTS	37	7.7825e-9	3.258e-7	2.4882
PID_P53_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_P53_DOWNSTREAM_PATHWAY	125	0.0007	0.0044	1.661
BMP RECEPTOR SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%BMP RECEPTOR SIGNALING	41	0.001	0.0057	1.8669
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108	96	0.0000023384	0	-2.0736
REGULATION OF LEUKOCYTE ACTIVATION%GOBP%GO:0002694	432	1.0169e-9	5.2674e-8	1.8746
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, DEADENYLATION-DEPENDENT DECAY%GOBP%GO:0000288	35	0.0016	0.0086	1.8704
CARBOHYDRATE METABOLISM%REACTOME%R-HSA-71387.12	280	0.0048	0.0198	-1.3723
EXERCISE INDUCED CIRCADIAN REGULATION%WIKIPATHWAYS_20240410%WP410%HOMO SAPIENS	36	0.0075	0.0283	1.6611
RESOLUTION OF D-LOOP STRUCTURES%REACTOME DATABASE ID RELEASE 81%5693537	36	0.0001	0.0012	-2.0075
RESPONSE TO TYPE I INTERFERON%GOBP%GO:0034340	47	0	0.0002	2.2046
PRESYNAPTIC PHASE OF HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693616.6	40	0.0006	0.004	-1.9058
WOUND HEALING%GOBP%GO:0042060	233	0.0002	0.0019	1.6099
MITOTIC DNA INTEGRITY CHECKPOINT SIGNALING%GOBP%GO:0044774	76	0.0156	0.0494	-1.4718
REGULATION OF TRANSFERASE ACTIVITY%GOBP%GO:0051338	537	0	0.0002	1.5306
ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE%GOBP%GO:0061844	94	0.0000025372	0	2.1993
HEAD AND NECK SQUAMOUS CELL CARCINOMA%WIKIPATHWAYS_20240410%WP4674%HOMO SAPIENS	64	0.0007	0.0045	1.8329
PYRIMIDINE DEOXYRIBONUCLEOTIDE METABOLIC PROCESS%GOBP%GO:0009219	16	0.0021	0.0106	-1.8848
CELLULAR RESPONSE TO STEROID HORMONE STIMULUS%GOBP%GO:0071383	85	0.0015	0.0079	1.7311
RESPONSE TO GLUCOCORTICOID%GOBP%GO:0051384	32	0.0119	0.0402	1.6607
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	80	4.5806e-12	4.9124e-10	-2.6518
RESPONSE TO GROWTH HORMONE%GOBP%GO:0060416	23	0.0001	0.0011	2.0762
TRANSCRIPTION ELONGATION BY RNA POLYMERASE II%GOBP%GO:0006368	30	0.0083	0.0305	1.6384
SPINDLE ASSEMBLY CHECKPOINT SIGNALING%GOBP%GO:0071173	27	0	0.0002	-2.2038
INTERNALIZATION OF ERBB1%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%INTERNALIZATION OF ERBB1	38	0.0019	0.0099	1.8382
HEPATITIS B INFECTION%WIKIPATHWAYS_20240410%WP4666%HOMO SAPIENS	131	3.6435e-9	1.6619e-7	2.2408
NEGATIVE REGULATION OF MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0033048	29	0.000002557	0	-2.2365
ORGANELLE FISSION%GOBP%GO:0048285	294	1.2455e-8	4.7576e-7	-1.8885
VACUOLE ORGANIZATION%GOBP%GO:0007033	169	0.0011	0.0061	1.5981
PROTEIN STABILIZATION%GOBP%GO:0050821	206	0.0041	0.0177	1.4845
RESOLUTION OF D-LOOP STRUCTURES THROUGH HOLLIDAY JUNCTION INTERMEDIATES%REACTOME%R-HSA-5693568.4	35	0.0001	0.0012	-2.0171
PLASMA MEMBRANE REPAIR%GOBP%GO:0001778	23	0.0059	0.0233	1.7981
G1 S-SPECIFIC TRANSCRIPTION%REACTOME%R-HSA-69205.5	28	3.6704e-7	0.0000091056	-2.3899
PID_ERBB1_INTERNALIZATION_PATHWAY%MSIGDB_C2%PID_ERBB1_INTERNALIZATION_PATHWAY	34	0.0085	0.0312	1.7268
ORGANIC ACID BIOSYNTHETIC PROCESS%GOBP%GO:0016053	227	0.0001	0.0007	-1.6417
NEGATIVE REGULATION OF LYMPHOCYTE MEDIATED IMMUNITY%GOBP%GO:0002707	44	0.0017	0.0091	1.8611
HALLMARK_HEME_METABOLISM%MSIGDBHALLMARK%HALLMARK_HEME_METABOLISM	167	0.0022	0.0112	1.5453
POSITIVE REGULATION OF CELLULAR COMPONENT BIOGENESIS%GOBP%GO:0044089	425	0	0.0003	1.5875
CARDIAC SEPTUM DEVELOPMENT%GOBP%GO:0003279	63	0.0041	0.0177	1.6933
EGFR TYROSINE KINASE INHIBITOR RESISTANCE%WIKIPATHWAYS_20240410%WP4806%HOMO SAPIENS	73	0.0018	0.0093	1.6996
TOLL LIKE RECEPTOR 3 (TLR3) CASCADE%REACTOME%R-HSA-168164.6	102	1.0874e-8	4.2879e-7	2.1984
CELLULAR RESPONSE TO INTERLEUKIN-6%GOBP%GO:0071354	23	0.0138	0.0447	1.6618
PID_CD40_PATHWAY%MSIGDB_C2%PID_CD40_PATHWAY	27	0.0000024785	0	2.3204
CELLULAR RESPONSE TO DECREASED OXYGEN LEVELS%GOBP%GO:0036294	78	0.0048	0.02	1.5882
PID_HIF2PATHWAY%MSIGDB_C2%PID_HIF2PATHWAY	28	0.0054	0.0219	1.7292
REGULATION OF PROGRAMMED NECROTIC CELL DEATH%GOBP%GO:0062098	23	0.0153	0.0487	1.6352
TAK1-DEPENDENT IKK AND NF-KAPPA-B ACTIVATION%REACTOME%R-HSA-445989.10	43	0.001	0.0059	1.883
GLYCOGENOSIS, TYPE IC%SMPDB%SMP0000574	22	0.0024	0.012	-1.7847
REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY%GOBP%GO:0002715	43	0.0112	0.0381	1.603
INTERLEUKIN-4 AND INTERLEUKIN-13 SIGNALING%REACTOME DATABASE ID RELEASE 81%6785807	111	4.3263e-13	1.0577e-10	2.5795
REGULATION OF KINASE ACTIVITY%GOBP%GO:0043549	430	0.0000013786	0	1.6993
HALLMARK_TGF_BETA_SIGNALING%MSIGDBHALLMARK%HALLMARK_TGF_BETA_SIGNALING	45	0.0004	0.0026	1.9063
POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE BASED ON SOMATIC RECOMBINATION OF IMMUNE RECEPTORS BUILT FROM IMMUNOGLOBULIN SUPERFAMILY DOMAINS%GOBP%GO:0002824	93	1.6859e-7	0.0000044996	2.1615
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 81%975957	116	0.0003	0.0025	-1.6984
SIGNALING BY NOTCH%REACTOME%R-HSA-157118.7	199	0.0001	0.0006	1.7159
NEGATIVE REGULATION OF ANOIKIS%GOBP%GO:2000811	17	0.0076	0.0286	1.7529
DEFECTIVE HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO BRCA2 LOSS OF FUNCTION%REACTOME DATABASE ID RELEASE 81%9701190	41	0.0003	0.0025	-1.9286
FRUCTOSE INTOLERANCE, HEREDITARY%PATHWHIZ%PW000702	18	0.0109	0.0374	-1.7146
NEGATIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION%GOBP%GO:2000515	23	0.0112	0.0383	1.6911
CANONICAL AND NON CANONICAL NOTCH SIGNALING%WIKIPATHWAYS_20240410%WP3845%HOMO SAPIENS	21	0.0148	0.0475	1.6826
MYELOID LEUKOCYTE MIGRATION%GOBP%GO:0097529	103	0.0002	0.0013	1.9021
CENTROSOME CYCLE%GOBP%GO:0007098	86	0.0009	0.0056	-1.7253
CARDIAC CHAMBER DEVELOPMENT%GOBP%GO:0003205	98	0.0014	0.0077	1.6664
IMMUNE RESPONSE TO TUBERCULOSIS%WIKIPATHWAYS_20240410%WP4197%HOMO SAPIENS	20	0.0000049052	0.0001	2.227
NEURAL CREST CELL MIGRATION IN CANCER%WIKIPATHWAYS_20240410%WP4565%HOMO SAPIENS	31	0.0089	0.0323	1.7226
NEGATIVE REGULATION OF HYDROLASE ACTIVITY%GOBP%GO:0051346	150	0.0000051643	0.0001	1.9093
HEART DEVELOPMENT%GOBP%GO:0007507	324	0.0005	0.0031	1.5493
INTERCONVERSION OF NUCLEOTIDE DI- AND TRIPHOSPHATES%REACTOME%R-HSA-499943.8	28	0.0025	0.0121	-1.8365
NEGATIVE REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002683	386	0.0000017062	0	1.7299
REGULATION OF ALPHA-BETA T CELL PROLIFERATION%GOBP%GO:0046640	27	0.0023	0.0113	1.8312
RESPONSE TO ORGANIC CYCLIC COMPOUND%GOBP%GO:0014070	371	0.0000012401	0	1.7575
POSTTRANSLATIONAL REGULATION OF ADHERENS JUNCTION STABILITY AND DISSASSEMBLY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%POSTTRANSLATIONAL REGULATION OF ADHERENS JUNCTION STABILITY AND DISSASSEMBLY	48	0.001	0.0061	1.8283
DNA STRAND ELONGATION%REACTOME%R-HSA-69190.4	32	6.3149e-9	2.6991e-7	-2.5207
REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905818	71	6.5877e-7	0	-2.1447
HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT	155	9.9935e-10	5.2205e-8	2.2719
REGULATION OF RNA STABILITY%GOBP%GO:0043487	165	0	0.0003	1.8151
SARS CORONAVIRUS AND INNATE IMMUNITY%WIKIPATHWAYS_20240410%WP4912%HOMO SAPIENS	31	0.0001	0.0009	2.088
CELLULAR RESPONSE TO PEPTIDE HORMONE STIMULUS%GOBP%GO:0071375	155	0.0006	0.0037	1.6463
INTRACELLULAR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0030522	135	1.8134e-7	0.0000048189	2.0632
PID_EPO_PATHWAY%MSIGDB_C2%PID_EPO_PATHWAY	29	0.0096	0.0344	1.7096
REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002718	80	0.0003	0.0021	1.8698
POSITIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048524	61	0.0136	0.0444	1.5248
EPHA2 FORWARD SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%EPHA2 FORWARD SIGNALING	19	0.0133	0.0437	1.7022
NGF-STIMULATED TRANSCRIPTION%REACTOME%R-HSA-9031628.4	38	0.0001	0.001	2.0466
GLUCOSE 6-PHOSPHATE METABOLIC PROCESS%GOBP%GO:0051156	21	0.0008	0.0048	-1.9424
MITOTIC SISTER CHROMATID SEGREGATION%GOBP%GO:0000070	133	0	0.0003	-1.8437
PID_NFAT_TFPATHWAY%MSIGDB_C2%PID_NFAT_TFPATHWAY	42	0	0.0003	2.1542
PID_PTP1B_PATHWAY%MSIGDB_C2%PID_PTP1B_PATHWAY	41	0.0064	0.025	1.7649
HALLMARK_COAGULATION%MSIGDBHALLMARK%HALLMARK_COAGULATION	108	0.0055	0.0221	1.6089
DNA DOUBLE-STRAND BREAK REPAIR%REACTOME DATABASE ID RELEASE 81%5693532	152	0.0000023352	0	-1.9082
